J.uAcm2_0.63_initialCA,¦Ö,Ne,r£¨2+£©,VNe,Mn,Ni,Mg,Ca,Fe,La,Y,In
500.6095238,1.576,25,0.736,5.8,0,0.3,0.3,0,0.2,0,0.2,0
2136.169048,1.673,27.3,0.719,7.5,0.4,0.2,0,0,0.3,0,0.1,0
2225.883333,1.699,25.4,0.668,7.4,0.2,0.1,0,0.1,0.6,0,0,0
2992.947619,1.459,20.9,0.65,5.3,0.5,0.1,0.3,0.1,0,0,0,0
2133.385714,1.226,28.7,1.044,3.5,0.1,0,0,0.4,0.1,0,0.4,0
2029.77381,1.645,28.7,0.7,7.1,0.4,0,0,0,0.5,0.1,0,0
1073.527143,1.308,44.3,1.024,4.7,0.3,0,0,0,0.1,0.6,0,0
424.4161905,1.618,26.9,0.738,6.9,0,0.6,0.2,0.1,0,0.1,0,0
2276.37619,1.379,30.2,0.868,5,0.2,0,0,0.3,0.3,0.2,0,0
1917.4,1.586,25.3,0.672,7.3,0.9,0.1,0,0,0,0,0,0
2846.7,1.574,26.3,0.741,6.5,0.4,0,0,0.1,0.4,0,0.1,0
654.1780952,1.405,26.1,0.848,5.3,0,0.4,0.1,0.4,0,0.1,0,0
1728.695238,1.402,23.6,0.802,5.6,0.4,0.2,0,0.4,0,0,0,0
3390.019048,1.642,25.5,0.66,7.5,0.7,0.1,0,0,0.2,0,0,0
2515.304762,1.55,25,0.67,7,1,0,0,0,0,0,0,0
3244.12381,1.444,22.8,0.71,5.6,0.6,0,0.1,0.2,0.1,0,0,0
1537.721429,1.613,29.1,0.736,7.5,0.6,0.3,0,0,0,0.1,0,0
1457.361429,1.414,22.6,0.786,5.4,0.2,0.3,0.1,0.4,0,0,0,0
468.8828571,1.531,33.1,0.808,5.9,0,0.3,0.2,0,0.2,0.3,0,0
2281.304762,1.517,26.4,0.733,6.6,0.9,0,0,0,0,0,0.1,0
1757.97619,1.31,25.7,0.923,3.9,0,0.2,0.2,0.3,0,0,0.3,0
1435.349524,1.448,29.1,0.756,5.5,0.5,0.1,0.2,0,0,0.2,0,0
1381.666667,1.704,30.7,0.758,7.1,0.5,0.3,0,0,0,0,0,0.2
2510.361905,1.738,24.8,0.626,7.6,0.2,0.2,0.1,0,0.5,0,0,0
865.2961905,1.697,28.7,0.724,7.9,0.2,0.6,0.1,0,0,0.1,0,0
1866.390476,1.407,22.9,0.728,4.5,0,0.3,0.4,0.2,0,0.1,0,0
2588.224821,1.497,23.9,0.742,5.9,0.3,0,0,0.3,0.4,0,0,0
1066.305381,1.207,17.4,0.752,2.6,0,0,0.4,0.5,0.1,0,0,0
1882.778571,1.606,27.1,0.773,7.3,0.4,0.4,0,0.1,0,0,0.1,0
3313.761905,1.372,27.4,0.873,4.8,0.5,0,0.1,0.1,0,0,0.3,0
1220.619048,1.451,30.8,0.872,5.6,0,0.2,0,0.3,0.3,0.2,0,0
1081.409524,1.237,19.5,0.791,2.9,0,0.1,0.4,0.4,0,0,0.1,0
2854.342857,1.69,25.5,0.64,7.5,0.5,0,0,0,0.5,0,0,0
1202.914286,1.419,30.3,0.942,5.1,0.3,0,0,0.1,0.2,0,0.4,0
1038.561905,1.451,31.6,0.802,5.2,0.1,0.3,0.3,0,0,0.3,0,0
1358.747619,1.753,28.1,0.731,8.3,0.2,0.5,0,0,0.2,0,0.1,0
3309.619048,1.505,24.1,0.75,6.1,0.3,0.1,0,0.3,0.3,0,0,0
1879.519048,1.558,32,0.858,6.8,0,0.5,0,0.2,0.1,0.2,0,0
2239.488095,1.421,23.8,0.768,5.8,0.6,0.1,0,0.3,0,0,0,0
2460.711905,1.548,28.2,0.792,6.6,0.6,0.1,0,0,0.1,0,0.2,0
2652.057143,1.605,25.5,0.691,6.5,0.4,0,0.1,0,0.4,0,0.1,0
2541.671429,1.347,24.6,0.758,4.6,0.5,0,0.2,0.2,0,0.1,0,0
2603.804762,1.567,25.1,0.706,7.1,0.7,0.2,0,0.1,0,0,0,0
3209.761905,1.594,22.9,0.624,6.5,0.5,0.1,0.2,0,0.2,0,0,0
616.9071429,1.643,36.1,0.84,7.3,0,0.4,0,0,0.3,0.3,0,0
2926.809524,1.506,21.2,0.61,5.6,0.6,0,0.3,0,0.1,0,0,0
2143.678571,1.544,31.7,0.772,6.5,0.5,0,0,0,0.3,0.2,0,0
2269.161905,1.758,26.6,0.674,8.6,0.4,0.5,0,0,0.1,0,0,0
423.9209524,1.455,24.7,0.785,4.5,0,0.2,0.4,0,0.1,0,0.3,0
605.5095238,1.568,29,0.746,6.2,0,0.5,0.3,0,0,0.2,0,0
1156.97619,1.354,40.8,0.984,4.8,0.1,0,0,0.1,0.3,0.5,0,0
1375.480952,1.453,28.6,0.899,5.2,0.1,0,0,0.2,0.4,0,0.3,0
2952.185714,1.495,24.5,0.702,6.5,0.9,0,0,0.1,0,0,0,0
1727.380952,1.609,24.3,0.667,6.1,0.2,0,0.2,0,0.5,0,0.1,0
1790.166667,1.375,23.2,0.828,5.2,0.2,0.2,0,0.5,0.1,0,0,0
1985.128571,1.506,29,0.886,5.4,0,0.3,0.2,0,0.1,0,0.4,0
